item_id;product;domain_id;sold_quantity;title;tags;category_id;price;seller_address.country.name;official_store_id;condition;start_time;listing_type_id;seller_address.state.name;catalog_product_id;seller_id;health;initial_quantity;warranty;available_quantity;original_price;base_price;questions_total;user_user_type;user_seller_reputation.transactions.ratings.negative;user_seller_reputation.transactions.ratings.positive;user_seller_reputation.level_id;user_seller_reputation.transactions.ratings.neutral;user_nickname;user_seller_reputation.transactions.completed;user_seller_reputation.transactions.canceled;user_seller_reputation.power_seller_status;product_domain_id;product_name
MLA804181311;Dell Inspiron;MLA-NOTEBOOKS;25;Notebook Dell Gamer I7 10ma 32gb Ssd256 + 1tb Win10 Gforce;['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible'];MLA1652;196975.0;Argentina;;new;2019-07-28T02:03:24.000Z;gold_special;Capital Federal;;131648529;0.9;61;Garantía de fábrica: 1 años;1;285999;196975.0;145.0;normal;0.01;0.97;5_green;0.02;PCCENTERCOMPUTERS;27996.0;1434.0;platinum;;
MLA837842655;Dell Inspiron;MLA-NOTEBOOKS;25;Notebook Dell Inspiron I7 256ssd 32gb 15.6 W10 Gforce Oferta;['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];MLA1652;179999.0;Argentina;69;new;2020-02-06T17:31:31.000Z;gold_special;Capital Federal;MLA15344922;179571326;0.9;46;Garantía de fábrica: 1 años;1;249999;179999.0;204.0;brand;0.02;0.96;5_green;0.02;TIENDASMERCADOLIBRE;6790.0;509.0;platinum;MLA-NOTEBOOKS;Dell Inspiron 5593
MLA899843349;Dell Inspiron;MLA-NOTEBOOKS;4;Notebook Laptop Dell Inspiron 3493 I5 10g 8g 256gb Ubuntu ;['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible'];MLA1652;95479.94;Argentina;1545;new;2020-12-03T18:57:11.000Z;gold_special;Capital Federal;MLA15582461;293425181;0.9;8;Garantía de fábrica: 12 meses;1;;95479.94;15.0;brand;0.07;0.9;5_green;0.03;SHOPNOWSRL;11486.0;546.0;platinum;MLA-NOTEBOOKS;Dell Inspiron 3493 - Silver - 8 GB - 256 GB - 1920 px x 1080 px - Intel UHD Graphics - Intel - Core i5 - 1035G1 - Windows - 10 - Home
MLA850689892;Dell Inspiron;MLA-NOTEBOOKS;5;Notebook Dell Inspiron I5 256ssd + 240ssd 16gb W10;['good_quality_thumbnail', 'brand_verified', 'good_quality_picture', 'immediate_payment', 'cart_eligible'];MLA1652;147999.0;Argentina;69;new;2020-04-21T19:26:23.000Z;gold_special;Capital Federal;MLA15344922;179571326;0.9;29;Garantía de fábrica: 1 años;1;191999;147999.0;113.0;brand;0.02;0.96;5_green;0.02;TIENDASMERCADOLIBRE;6790.0;509.0;platinum;MLA-NOTEBOOKS;Dell Inspiron 5593
MLA837840043;Dell Inspiron;MLA-NOTEBOOKS;3;Notebook Laptop Dell I7 10g 32g 256ssd + 1t W10 Gf Cuotas;['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];MLA1652;185999.0;Argentina;69;new;2020-02-06T17:15:59.000Z;gold_special;Capital Federal;MLA15344922;179571326;0.9;7;Garantía de fábrica: 1 años;1;;185999.0;;brand;0.02;0.96;5_green;0.02;TIENDASMERCADOLIBRE;6790.0;509.0;platinum;MLA-NOTEBOOKS;Dell Inspiron 5593
MLA838574798;Dell Inspiron;MLA-NOTEBOOKS;5;Notebook Dell Inspiron I5 256ssd 8gb 15.6 Win10;['good_quality_picture', 'good_quality_thumbnail', 'brand_verified', 'immediate_payment', 'cart_eligible'];MLA1652;138999.0;Argentina;69;new;2020-02-11T13:09:57.000Z;gold_special;Capital Federal;MLA15344922;179571326;0.9;23;Garantía de fábrica: 1 años;1;189999;138999.0;66.0;brand;0.02;0.96;5_green;0.02;TIENDASMERCADOLIBRE;6790.0;509.0;platinum;MLA-NOTEBOOKS;Dell Inspiron 5593
MLA833800289;Dell Inspiron;MLA-NOTEBOOKS;5;Notebook Dell I7 5593 10ma 16gb 256gb Ssd Win10 Mx230 Gamer ;['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible'];MLA1652;159999.0;Argentina;;new;2020-01-10T14:23:03.000Z;gold_special;Capital Federal;MLA15344922;31875925;0.9;10001;Garantía de fábrica: 1 años;5000;;159999.0;34.0;normal;0.02;0.96;5_green;0.02;ESPACIO ELECTRONICA;123958.0;8092.0;platinum;MLA-NOTEBOOKS;Dell Inspiron 5593
MLA677347584;Dell Inspiron;MLA-NOTEBOOKS;50;Notebook Dell Inspiron I3 8gb 1tb 14 Win 10 Teclado Con Ñ Garantia De Tienda Oficial - Factura A Y B Ram;['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];MLA1652;106999.0;Argentina;69;new;2017-08-04T16:42:23.000Z;gold_special;Capital Federal;MLA15349659;179571326;0.9;105;Garantía de fábrica: 1 años;1;141830;106999.0;453.0;brand;0.02;0.96;5_green;0.02;TIENDASMERCADOLIBRE;6790.0;509.0;platinum;MLA-NOTEBOOKS;Dell Inspiron 3493
MLA850688285;Dell Inspiron;MLA-NOTEBOOKS;25;Notebook Dell Inspiron I5 256ssd + 1tb 16gb W10 Gforce Ram;['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];MLA1652;162999.0;Argentina;69;new;2020-04-21T19:20:43.000Z;gold_special;Capital Federal;MLA15344922;179571326;0.9;43;Garantía de fábrica: 1 años;1;234061;162999.0;;brand;0.02;0.96;5_green;0.02;TIENDASMERCADOLIBRE;6790.0;509.0;platinum;MLA-NOTEBOOKS;Dell Inspiron 5593
MLA663219401;Dell Inspiron;MLA-NOTEBOOKS;5;Notebook Dell I5 8gb Ssd 256gb 13,3 Win10;['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];MLA1652;187999.0;Argentina;69;new;2017-04-21T19:58:50.000Z;gold_special;Capital Federal;MLA15392503;179571326;0.75;68;Garantía de fábrica: 1 años;1;222915;187999.0;;brand;0.02;0.96;5_green;0.02;TIENDASMERCADOLIBRE;6790.0;509.0;platinum;MLA-NOTEBOOKS;Dell Inspiron 5391
MLA899395497;Dell Inspiron;MLA-NOTEBOOKS;2;Notebook Dell 3593 I7 10ma 12gb Ssd512 15,6 Iris Plus Touch;['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];MLA1652;142499.0;Argentina;;new;2020-11-30T16:30:31.000Z;gold_special;Capital Federal;MLA15349658;9198894;0.9;22;Garantía de fábrica: 6 meses;1;;142499.0;0.0;normal;0.02;0.97;5_green;0.01;COOL-TECH-;4703.0;267.0;platinum;MLA-NOTEBOOKS;Dell Inspiron 3593
MLA838606744;Dell Inspiron;MLA-NOTEBOOKS;1;Notebook Dell 5593 I5 10ma 12gb Ssd256 + 1tb Geforce W10 S/i;['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];MLA1652;176999.0;Argentina;;new;2020-02-11T16:05:53.000Z;gold_pro;Capital Federal;MLA15344922;31875925;1.0;9999;Garantía de fábrica: 1 años;5000;;176999.0;;normal;0.02;0.96;5_green;0.02;ESPACIO ELECTRONICA;123958.0;8092.0;platinum;MLA-NOTEBOOKS;Dell Inspiron 5593
MLA881144437;Dell Inspiron;MLA-NOTEBOOKS;1;Notebook Dell Inspiron I7 256ssd + 1tb 32gb 15.6 W10 Gf;['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];MLA1652;247698.0;Argentina;69;new;2020-09-28T13:31:44.000Z;gold_pro;Capital Federal;MLA15344922;179571326;0.9;18;;1;;247698.0;2.0;brand;0.02;0.96;5_green;0.02;TIENDASMERCADOLIBRE;6790.0;509.0;platinum;MLA-NOTEBOOKS;Dell Inspiron 5593
MLA673439018;Dell Inspiron;MLA-NOTEBOOKS;25;Notebook Laptop Dell Inspiron I3 8gb 1tb 15,6 Fhd Ubuntu Teclado Con Ñ Gtia De Tienda Oficial - Factura A Y B;['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];MLA1652;88999.0;Argentina;69;new;2017-07-06T15:28:12.000Z;gold_special;Capital Federal;MLA15349658;179571326;0.8;95;Garantía de fábrica: 1 años;1;133099;88999.0;389.0;brand;0.02;0.96;5_green;0.02;TIENDASMERCADOLIBRE;6790.0;509.0;platinum;MLA-NOTEBOOKS;Dell Inspiron 3593
MLA830190937;Dell Inspiron;MLA-NOTEBOOKS;5;Notebook Lapto Dell I3 16gb 1tb + Ssd 480gb Win10 Oferta;['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];MLA1652;116999.0;Argentina;69;new;2019-12-13T19:33:58.000Z;gold_special;Capital Federal;MLA15349659;179571326;0.9;26;Garantía de fábrica: 1 años;1;;116999.0;93.0;brand;0.02;0.96;5_green;0.02;TIENDASMERCADOLIBRE;6790.0;509.0;platinum;MLA-NOTEBOOKS;Dell Inspiron 3493
