,index,product,original_price,start_time,seller_address.country.name,listing_type_id,status,catalog_product_id,price,id,tags,base_price,accepts_mercadopago,sold_quantity,health,condition,available_quantity,title,official_store_id,buying_mode,warranty,category_id,seller_address.state.name,seller_id,domain_id,initial_quantity,item_id,questions_total,user_seller_reputation.power_seller_status,user_seller_reputation.transactions.completed,user_seller_reputation.transactions.canceled,user_seller_reputation.transactions.ratings.neutral,user_seller_reputation.transactions.ratings.positive,user_seller_reputation.transactions.ratings.negative,user_seller_reputation.level_id,user_nickname,user_user_type,product_name,product_domain_id
20,20,Lenovo Ideapad,102499,2020-11-26T17:42:42.000Z,Argentina,gold_special,active,MLA15253903,81999.0,MLA898911990,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'brand_verified', 'immediate_payment', 'cart_eligible']",81999.0,True,5,0.9,new,1,Notebook Lenovo Ideapad S340 Ryzen 5 8gb 1tb Windows 10,829,buy_it_now,Garantía de fábrica: 12 meses,MLA1652,Capital Federal,258450419,MLA-NOTEBOOKS,57,MLA898911990,75.0,platinum,2727.0,200.0,0.03,0.94,0.03,5_green,DELTA TIENDASOFICIALES,brand,Lenovo IdeaPad S340,MLA-NOTEBOOKS
21,21,Lenovo Ideapad,79999,2020-12-21T17:34:39.000Z,Argentina,gold_pro,active,MLA16041756,75999.0,MLA901846574,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",75999.0,True,5,1.0,new,50,Notebook Lenovo Intel Core I3 4gb 1tb Windows 10,1938,buy_it_now,Garantía de fábrica: 12 meses,MLA1652,Buenos Aires,608846165,MLA-NOTEBOOKS,100,MLA901846574,10.0,platinum,190532.0,8516.0,0.03,0.9,0.07,5_green,ELECTRONICAFLA,brand,Lenovo IdeaPad 3 15IIL05,MLA-NOTEBOOKS
22,22,Lenovo Ideapad,,2020-09-11T16:55:14.000Z,Argentina,gold_special,active,,69999.0,MLA878139970,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",69999.0,True,5,0.8,new,1,Notebook Lenovo Ryzen 3 4 Gb 256 Ssd 14 Windows 10 Nuevas ,,buy_it_now,Garantía del vendedor: 12 meses,MLA1652,Capital Federal,10878354,MLA-NOTEBOOKS,35,MLA878139970,48.0,,179.0,5.0,0.05,0.95,0.0,5_green,ASTRONIC ARG,normal,,
23,23,Lenovo Ideapad,,2020-06-12T12:36:08.000Z,Argentina,gold_special,active,MLA15698353,99995.0,MLA861858776,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",99995.0,True,25,0.9,new,1,Notebook Lenovo S145 Core I3 1005 G1 8gb 1tb 15.6 Win10,,buy_it_now,Garantía de fábrica: 12 meses,MLA1652,Capital Federal,131648529,MLA-NOTEBOOKS,36,MLA861858776,93.0,platinum,27992.0,1435.0,0.02,0.97,0.01,5_green,PCCENTERCOMPUTERS,normal,Lenovo IdeaPad S145-15IIL,MLA-NOTEBOOKS
24,24,Lenovo Ideapad,,2020-12-09T13:25:37.000Z,Argentina,gold_pro,active,MLA16189144,89999.0,MLA900364708,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",89999.0,True,5,0.87,new,1,"Notebook Lenovo Ideapad 3 I3 10ma 15,6 8gb Ssd 256gb",,buy_it_now,Garantía del vendedor: 12 meses,MLA1652,Capital Federal,482880972,MLA-NOTEBOOKS,12,MLA900364708,2.0,platinum,3245.0,152.0,0.01,0.99,0.0,5_green,MAGATEKNO,normal,Lenovo IdeaPad 3,MLA-NOTEBOOKS
25,25,Lenovo Ideapad,,2020-11-18T13:58:45.000Z,Argentina,gold_pro,active,MLA16041756,89999.0,MLA897721176,"['good_quality_picture', 'good_quality_thumbnail', 'brand_verified', 'extended_warranty_eligible', 'immediate_payment', 'cart_eligible']",89999.0,True,5,1.0,new,1,Notebook Lenovo Ideapad 3 15.6 Core I3-1005g1 8gb Ram 256gb,,buy_it_now,Garantía de fábrica: 6 meses,MLA1652,Capital Federal,203804413,MLA-NOTEBOOKS,35,MLA897721176,16.0,platinum,26366.0,1269.0,0.02,0.95,0.03,5_green,NEXT CLICK,normal,Lenovo IdeaPad 3 15IIL05,MLA-NOTEBOOKS
26,26,Lenovo Ideapad,62999,2020-08-28T14:30:44.000Z,Argentina,gold_special,active,MLA15280167,49999.0,MLA875512766,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",49999.0,True,5,0.8,new,1,Notebook Lenovo 330 Intel Celeron N4000 4gb Ddr4 1tb Dvdrw ,,buy_it_now,Garantía de fábrica: 12 meses,MLA1652,Capital Federal,174556876,MLA-NOTEBOOKS,22,MLA875512766,29.0,platinum,408152.0,27763.0,0.03,0.94,0.03,5_green,OVERHARD DIGITAL,normal,Lenovo IdeaPad 330-15IGM,MLA-NOTEBOOKS
27,27,Lenovo Ideapad,,2020-08-31T14:11:00.000Z,Argentina,gold_special,active,MLA15262067,64999.0,MLA875916696,"['good_quality_picture', 'good_quality_thumbnail', 'brand_verified', 'extended_warranty_eligible', 'immediate_payment', 'cart_eligible']",64999.0,True,5,0.87,new,1,Notebook Lenovo Intel Celeron 4gb Ram 1tb Hdd Uhd Graphics,,buy_it_now,Garantía de fábrica: 12 meses,MLA1652,Capital Federal,25704919,MLA-NOTEBOOKS,22,MLA875916696,,platinum,46992.0,5508.0,0.01,0.96,0.03,5_green,ELECTRO-SHOWS,normal,Lenovo IdeaPad S145-14IGM,MLA-NOTEBOOKS
28,28,Lenovo Ideapad,,2020-10-16T17:43:57.000Z,Argentina,gold_special,active,MLA16029713,41499.0,MLA884208569,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",41499.0,True,5,0.9,new,1,Notebook Lenovo 11.6 Hd Intel Celeron Ssd 128gb Ram 4gb Wifi,,buy_it_now,Garantía del vendedor: 12 meses,MLA1652,Capital Federal,69526727,MLA-NOTEBOOKS,52,MLA884208569,,platinum,28173.0,1467.0,0.02,0.96,0.02,5_green,ELECTRONIC-MARKET,normal,Lenovo IdeaPad 1 14IGL05,MLA-NOTEBOOKS
29,29,Lenovo Ideapad,,2020-07-10T17:30:58.000Z,Argentina,gold_special,active,MLA15698353,98000.0,MLA867370156,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'brand_verified', 'immediate_payment', 'cart_eligible']",98000.0,True,5,0.9,new,1,Notebook Lenovo S145 Core I3 1005 G1 8gb 1tb Ssd 240gb Win10,,buy_it_now,Garantía de fábrica: 12 meses,MLA1652,Capital Federal,74692374,MLA-NOTEBOOKS,16,MLA867370156,41.0,platinum,4543.0,447.0,0.01,0.97,0.02,5_green,FABYSAN1107,normal,Lenovo IdeaPad S145-15IIL,MLA-NOTEBOOKS
