,product,buying_mode,title,start_time,seller_address.country.name,status,seller_address.state.name,tags,available_quantity,listing_type_id,catalog_product_id,condition,warranty,id,accepts_mercadopago,sold_quantity,category_id,original_price,price,base_price,domain_id,official_store_id,seller_id,initial_quantity,health,item_id,reviews_rating_levels.one_star,reviews_rating_levels.five_star,reviews_rating_levels.three_star,reviews_paging.total,reviews_rating_average,reviews_rating_levels.four_star,reviews_rating_levels.two_star
21,Dell Vostro,buy_it_now,Notebook Dell Vostro I3 15.6 8gb 1tb + 240ssd Ubuntu Ñ,2020-11-19T18:28:54.000Z,Argentina,active,Capital Federal,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",1,gold_special,MLA16639105,new,,MLA897953982,True,0,MLA1652,114999,96499.0,96499.0,MLA-NOTEBOOKS,69,179571326,21,0.8,MLA897953982,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Dell Vostro,buy_it_now,Notebook Dell Vostro I3 15.6 12g 1tb + 480ssd Ubuntu  Ñ,2020-11-19T18:49:12.000Z,Argentina,active,Capital Federal,"['good_quality_picture', 'extended_warranty_eligible', 'immediate_payment', 'cart_eligible']",1,gold_special,MLA16639105,new,,MLA897956917,True,0,MLA1652,,104721.95,104721.95,MLA-NOTEBOOKS,,140152798,11,0.75,MLA897956917,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Dell Vostro,buy_it_now,Notebook Dell Vostro I5 15.6 12g 1tb + 240ssd  Ubuntu Ñ,2020-11-19T18:07:03.000Z,Argentina,active,Capital Federal,"['good_quality_picture', 'immediate_payment', 'cart_eligible']",1,gold_special,MLA16639105,new,,MLA897947051,True,0,MLA1652,,122289.95,122289.95,MLA-NOTEBOOKS,,140152798,11,0.75,MLA897947051,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Dell Vostro,buy_it_now,Notebook Dell Vostro 15.6 Intel Core I3  4gb 1tb Freedos,2020-11-03T14:54:23.000Z,Argentina,active,Capital Federal,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",1,gold_special,MLA16050878,new,Garantía del vendedor: 6 meses,MLA886590965,True,0,MLA1652,,79999.0,79999.0,MLA-NOTEBOOKS,,146480022,4,0.9,MLA886590965,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Dell Vostro,buy_it_now,Notebook Dell Vostro I5 15.6 32 Gb 1tb + 480ssd  Ubuntu Ñ,2020-11-19T18:26:41.000Z,Argentina,active,Capital Federal,"['good_quality_picture', 'immediate_payment', 'cart_eligible']",1,gold_special,MLA16639105,new,,MLA897953260,True,0,MLA1652,,140955.95,140955.95,MLA-NOTEBOOKS,,140152798,14,0.75,MLA897953260,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Dell Vostro,buy_it_now,Notebook Dell Vostro I3 15.6  4g 1tb Ubuntu Teclado Con Ñ,2020-11-18T18:15:39.000Z,Argentina,active,Capital Federal,"['good_quality_picture', 'good_quality_thumbnail', 'brand_verified', 'immediate_payment', 'cart_eligible']",1,gold_pro,MLA16639105,new,,MLA897766184,True,0,MLA1652,,113498.0,113498.0,MLA-NOTEBOOKS,69,179571326,21,0.9,MLA897766184,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Dell Vostro,buy_it_now,Notebook Laptop Dell Vostro I5 8gb 1tb + 480ssd 14 Win,2020-09-28T13:31:25.000Z,Argentina,active,Capital Federal,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",1,gold_special,MLA16173015,new,,MLA881142828,True,0,MLA1652,,127199.0,127199.0,MLA-NOTEBOOKS,69,179571326,12,0.8,MLA881142828,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Dell Vostro,buy_it_now,Notebook Dell Vostro I5 15.6 4g 1tb + 240ssd  Ubuntu Ñ,2020-11-19T17:58:35.000Z,Argentina,active,Capital Federal,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",1,gold_pro,MLA16639105,new,,MLA897944657,True,0,MLA1652,,144798.0,144798.0,MLA-NOTEBOOKS,69,179571326,16,0.9,MLA897944657,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Dell Vostro,buy_it_now,Notebook Laptop Dell Vostro I5 4gb 1tb + 480ssd 14 Win,2020-09-28T13:31:13.000Z,Argentina,active,Capital Federal,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",1,gold_special,MLA16173015,new,,MLA881142810,True,0,MLA1652,,124299.0,124299.0,MLA-NOTEBOOKS,69,179571326,11,0.8,MLA881142810,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Dell Vostro,buy_it_now,Notebook Dell Vostro I5 15.6  24gb 1tb Ubuntu Teclado Con Ñ,2020-11-18T18:15:44.000Z,Argentina,active,Capital Federal,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",1,gold_pro,MLA16639105,new,,MLA897765442,True,0,MLA1652,,157998.0,157998.0,MLA-NOTEBOOKS,69,179571326,12,0.9,MLA897765442,0.0,0.0,0.0,0.0,0.0,0.0,0.0
