item_id,product,item_order
MLA904027275,Apple Macbook,118
MLA903519722,Apple Macbook,119
MLA901664731,Apple Macbook,120
MLA903626257,Apple Macbook,121
MLA884070503,Apple Macbook,122
MLA898644357,Apple Macbook,123
MLA622862609,Apple Macbook,124
MLA883014739,Apple Macbook,125
MLA865542436,Apple Macbook,126
MLA853963889,Apple Macbook,127
MLA869274927,Apple Macbook,128
MLA899188537,Apple Macbook,129
MLA899188767,Apple Macbook,130
MLA886138630,Apple Macbook,131
MLA869735177,Apple Macbook,132
MLA885220446,Apple Macbook,133
MLA901105914,Apple Macbook,134
MLA901783107,Apple Macbook,135
MLA863814925,Apple Macbook,136
MLA904888053,Apple Macbook,137
MLA871859024,Apple Macbook,138
MLA899728550,Apple Macbook,139
MLA863019200,Apple Macbook,140
MLA874451924,Apple Macbook,141
MLA874453214,Apple Macbook,142
MLA902748177,Apple Macbook,143
MLA900048065,Apple Macbook,144
MLA859254936,Apple Macbook,145
MLA897512865,Apple Macbook,146
MLA903997549,Apple Macbook,147
MLA898324902,Apple Macbook,148
MLA866359667,Apple Macbook,149
MLA886419820,Apple Macbook,150
MLA876215071,Apple Macbook,151
MLA885221305,Apple Macbook,152
MLA874444752,Apple Macbook,153
MLA868716375,Apple Macbook,154
MLA902174493,Apple Macbook,155
MLA904194134,Apple Macbook,156
MLA877584934,Apple Macbook,157
MLA871042084,Apple Macbook,158
MLA901131516,Apple Macbook,159
MLA902700328,Apple Macbook,160
MLA903910913,Apple Macbook,161
MLA903603208,Apple Macbook,162
MLA885221297,Apple Macbook,163
MLA866525271,Apple Macbook,164
MLA904859884,Apple Macbook,165
MLA904860492,Apple Macbook,166
MLA900122216,Apple Macbook,167
MLA884853377,Apple Macbook,168
MLA902823163,Apple Macbook,169
MLA868604370,Apple Macbook,170
MLA846274195,Apple Macbook,171
MLA901993423,Apple Macbook,172
MLA901670940,Apple Macbook,173
MLA883264449,Apple Macbook,174
MLA903784259,Apple Macbook,175
MLA902080735,Apple Macbook,176
MLA901230510,Apple Macbook,177
MLA899841183,Apple Macbook,178
MLA860006729,Apple Macbook,179
MLA902748729,Apple Macbook,180
MLA899044506,Apple Macbook,181
MLA903051991,Apple Macbook,182
MLA902357173,Apple Macbook,183
MLA903956324,Apple Macbook,184
MLA903049819,Apple Macbook,185
MLA903667332,Apple Macbook,186
MLA903821524,Apple Macbook,187
MLA903935988,Apple Macbook,188
MLA900018002,Apple Macbook,189
MLA904111496,Apple Macbook,190
MLA897667042,Apple Macbook,191
MLA903949690,Apple Macbook,192
MLA853959449,Apple Macbook,193
MLA903083583,Apple Macbook,194
MLA903818639,Apple Macbook,195
MLA899158895,Apple Macbook,196
MLA901458144,Apple Macbook,197
MLA841034611,Apple Macbook,198
MLA884480029,Apple Macbook,199
MLA863041116,Apple Macbook,200
MLA821620212,Dell Inspiron,1
MLA883069959,Dell Inspiron,2
MLA883957542,Dell Inspiron,3
