,item_id,product,title,price,accepts_mercadopago,base_price,warranty,official_store_id,seller_id,sold_quantity,catalog_product_id,category_id,start_time,seller_address.country.name,status,condition,health,tags,buying_mode,original_price,domain_id,available_quantity,initial_quantity,seller_address.state.name,listing_type_id,questions_total,user_user_type,user_seller_reputation.power_seller_status,user_nickname,user_seller_reputation.transactions.completed,user_seller_reputation.transactions.ratings.positive,user_seller_reputation.transactions.canceled,user_seller_reputation.level_id,user_seller_reputation.transactions.ratings.neutral,user_seller_reputation.transactions.ratings.negative,product_name,product_sold_quantity,product_domain_id
481,MLA897766149,Dell Vostro,Notebook Dell Vostro I5 15.6  4g 1tb Ubuntu Teclado Con Ñ,138498.0,True,138498.0,,69,179571326,0,MLA16639105,MLA1652,2020-11-18T18:14:55.000Z,Argentina,active,new,0.9,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",buy_it_now,,MLA-NOTEBOOKS,1,14,Capital Federal,gold_pro,,brand,platinum,TIENDASMERCADOLIBRE,6789.0,0.96,508.0,5_green,0.02,0.02,Dell Vostro 3590,0.0,MLA-NOTEBOOKS
482,MLA900644213,Dell Vostro,Notebook Dell Vostro I3 15.6  12g 1tb Ubuntu Teclado Con Ñ,93499.0,True,93499.0,Garantía de fábrica: 1 años,69,179571326,0,MLA16639105,MLA1652,2020-12-11T11:42:00.000Z,Argentina,active,new,0.88,"['extended_warranty_eligible', 'good_quality_picture', 'brand_verified', 'immediate_payment', 'cart_eligible']",buy_it_now,107999,MLA-NOTEBOOKS,1,8,Capital Federal,gold_special,,brand,platinum,TIENDASMERCADOLIBRE,6789.0,0.96,508.0,5_green,0.02,0.02,Dell Vostro 3590,0.0,MLA-NOTEBOOKS
483,MLA896897813,Dell Vostro,Notebook Dell Vostro 3490 I5 8gb 1tb W10pro,117499.0,True,117499.0,Garantía del vendedor: 6 meses,,146480022,0,MLA16173015,MLA1652,2020-11-12T16:51:16.000Z,Argentina,active,new,0.9,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",buy_it_now,,MLA-NOTEBOOKS,1,1,Capital Federal,gold_special,0.0,normal,platinum,COMPU-TOOLS,3270.0,0.99,122.0,5_green,0.01,0.0,Dell Vostro 3490,0.0,MLA-NOTEBOOKS
484,MLA897956048,Dell Vostro,Notebook Dell Vostro I3 15.6 8g 1tb + 480ssd Ubuntu Ñ,98999.0,True,98999.0,,69,179571326,0,MLA16639105,MLA1652,2020-11-19T18:44:44.000Z,Argentina,active,new,0.8,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",buy_it_now,117999,MLA-NOTEBOOKS,1,20,Capital Federal,gold_special,0.0,brand,platinum,TIENDASMERCADOLIBRE,6789.0,0.96,508.0,5_green,0.02,0.02,Dell Vostro 3590,0.0,MLA-NOTEBOOKS
485,MLA901292048,Dell Vostro,Notebook Dell Vostro I5 15.6 4g 1tb + 240ssd  Ubuntu Ñ,113199.0,True,113199.0,,1482,179571326,0,MLA16639105,MLA1652,2020-12-16T16:13:11.000Z,Argentina,active,new,0.7,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",buy_it_now,,MLA-NOTEBOOKS,1,16,Capital Federal,gold_special,,brand,platinum,TIENDASMERCADOLIBRE,6789.0,0.96,508.0,5_green,0.02,0.02,Dell Vostro 3590,0.0,MLA-NOTEBOOKS
486,MLA902626916,Dell Vostro,Dell Vostro 3590 I3 10gen 8gb Ssd 240gb 15.6 Hdmi Usb Win,93000.0,True,93000.0,Garantía de fábrica: 12 meses,,10716498,0,MLA16639105,MLA1652,2020-12-30T05:41:20.000Z,Argentina,active,new,0.88,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",buy_it_now,,MLA-NOTEBOOKS,1,8,Capital Federal,gold_special,0.0,normal,silver,-XYZHARD-,189.0,1.0,12.0,5_green,0.0,0.0,Dell Vostro 3590,0.0,MLA-NOTEBOOKS
487,MLA754985608,Dell Vostro,Notebook I5 Dell Vostro 14 4gb 1tb Win 10 Pro Teclado Con Ñ Gtia De Tienda Oficial - Factura A Y B,114999.0,True,114999.0,Garantía de fábrica: 1 años,69,179571326,4,MLA15298514,MLA1652,2018-10-25T10:38:35.000Z,Argentina,active,new,0.9,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",buy_it_now,188498,MLA-NOTEBOOKS,1,16,Capital Federal,gold_special,68.0,brand,platinum,TIENDASMERCADOLIBRE,6789.0,0.96,508.0,5_green,0.02,0.02,Dell Vostro 5481,0.0,MLA-NOTEBOOKS
488,MLA897764837,Dell Vostro,Notebook Dell Vostro I5 15.6  32gb 1tb Ubuntu Teclado Con Ñ,124999.0,True,124999.0,,69,179571326,0,MLA16639105,MLA1652,2020-11-18T18:15:32.000Z,Argentina,active,new,0.8,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",buy_it_now,140999,MLA-NOTEBOOKS,1,18,Capital Federal,gold_special,1.0,brand,platinum,TIENDASMERCADOLIBRE,6789.0,0.96,508.0,5_green,0.02,0.02,Dell Vostro 3590,0.0,MLA-NOTEBOOKS
489,MLA897766171,Dell Vostro,Notebook Dell Vostro I3 15.6  24g 1tb Ubuntu Teclado Con Ñ,99999.0,True,99999.0,,69,179571326,0,MLA16639105,MLA1652,2020-11-18T18:15:29.000Z,Argentina,active,new,0.77,"['brand_verified', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",buy_it_now,118999,MLA-NOTEBOOKS,1,18,Capital Federal,gold_special,0.0,brand,platinum,TIENDASMERCADOLIBRE,6789.0,0.96,508.0,5_green,0.02,0.02,Dell Vostro 3590,0.0,MLA-NOTEBOOKS
490,MLA898727312,Dell Vostro,Notebook Dell Intel Core I5 10° Gen 256gb Ssd 8gb Win 10 Pro,160000.0,True,160000.0,Garantía de fábrica: 12 meses,,66921256,0,MLA16173015,MLA1652,2020-11-25T17:21:29.000Z,Argentina,active,new,0.8,"['good_quality_picture', 'good_quality_thumbnail', 'brand_verified', 'immediate_payment', 'cart_eligible']",buy_it_now,,MLA-NOTEBOOKS,1,3,Capital Federal,gold_special,,normal,silver,HARD-BAIRES,449.0,0.99,23.0,5_green,0.01,0.0,Dell Vostro 3490,0.0,MLA-NOTEBOOKS
491,MLA897765438,Dell Vostro,Notebook Dell Vostro I3 15.6  8g 1tb Ubuntu Teclado Con Ñ,117198.0,True,117198.0,,69,179571326,0,MLA16639105,MLA1652,2020-11-18T18:15:39.000Z,Argentina,active,new,0.9,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",buy_it_now,,MLA-NOTEBOOKS,1,17,Capital Federal,gold_pro,,brand,platinum,TIENDASMERCADOLIBRE,6789.0,0.96,508.0,5_green,0.02,0.02,Dell Vostro 3590,0.0,MLA-NOTEBOOKS
492,MLA881145044,Dell Vostro,Notebook Laptop Dell Vostro I5 32gb 1tb + 480ssd 14 Win,144699.0,True,144699.0,,69,179571326,0,MLA16173015,MLA1652,2020-09-28T13:31:45.000Z,Argentina,active,new,0.8,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",buy_it_now,,MLA-NOTEBOOKS,1,10,Capital Federal,gold_special,,brand,platinum,TIENDASMERCADOLIBRE,6789.0,0.96,508.0,5_green,0.02,0.02,Dell Vostro 3490,0.0,MLA-NOTEBOOKS
493,MLA867242683,Dell Vostro,Notebook Dell Vostro 3480 I3 8gb 1tb Windows 10 14 Pulgadas,101999.0,True,101999.0,Garantía del vendedor: 6 meses,,203804413,4,MLA15272577,MLA1652,2020-07-09T18:31:25.000Z,Argentina,active,new,0.9,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",buy_it_now,,MLA-NOTEBOOKS,1,41,Capital Federal,gold_pro,7.0,normal,platinum,NEXT CLICK,26344.0,0.95,1267.0,5_green,0.02,0.03,Dell Vostro 3480,0.0,MLA-NOTEBOOKS
494,MLA881143895,Dell Vostro,Notebook Laptop Dell Vostro I5 4gb 1tb 14 Win,116799.0,True,116799.0,,69,179571326,0,MLA16173015,MLA1652,2020-09-28T13:29:43.000Z,Argentina,active,new,0.77,"['brand_verified', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",buy_it_now,,MLA-NOTEBOOKS,1,1,Capital Federal,gold_special,0.0,brand,platinum,TIENDASMERCADOLIBRE,6789.0,0.96,508.0,5_green,0.02,0.02,Dell Vostro 3490,0.0,MLA-NOTEBOOKS
