item_id,product,available_quantity,listing_type_id,initial_quantity,sold_quantity,base_price,catalog_product_id,accepts_mercadopago,seller_address.country.name,status,tags,seller_id,price,warranty,original_price,domain_id,health,buying_mode,title,condition,category_id,official_store_id,start_time,seller_address.state.name,questions_total,user_user_type,user_seller_reputation.transactions.ratings.positive,user_seller_reputation.transactions.ratings.neutral,user_seller_reputation.level_id,user_seller_reputation.transactions.completed,user_seller_reputation.transactions.canceled,user_seller_reputation.power_seller_status,user_seller_reputation.transactions.ratings.negative,user_nickname,product_domain_id,product_name
MLA898911990,Lenovo Ideapad,1,gold_special,57,5,81999.0,MLA15253903,True,Argentina,active,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",258450419,81999.0,Garantía de fábrica: 12 meses,102499,MLA-NOTEBOOKS,0.9,buy_it_now,Notebook Lenovo Ideapad S340 Ryzen 5 8gb 1tb Windows 10,new,MLA1652,829,2020-11-26T17:42:42.000Z,Capital Federal,75.0,brand,0.94,0.03,5_green,2727.0,200.0,platinum,0.03,DELTA TIENDASOFICIALES,MLA-NOTEBOOKS,Lenovo IdeaPad S340
MLA901846574,Lenovo Ideapad,50,gold_pro,100,5,75999.0,MLA16041756,True,Argentina,active,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",608846165,75999.0,Garantía de fábrica: 12 meses,79999,MLA-NOTEBOOKS,1.0,buy_it_now,Notebook Lenovo Intel Core I3 4gb 1tb Windows 10,new,MLA1652,1938,2020-12-21T17:34:39.000Z,Buenos Aires,10.0,brand,0.9,0.03,5_green,190552.0,8518.0,platinum,0.07,ELECTRONICAFLA,MLA-NOTEBOOKS,Lenovo IdeaPad 3 15IIL05
MLA878139970,Lenovo Ideapad,1,gold_special,35,5,69999.0,,True,Argentina,active,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'brand_verified', 'immediate_payment', 'cart_eligible']",10878354,69999.0,Garantía del vendedor: 12 meses,,MLA-NOTEBOOKS,0.8,buy_it_now,Notebook Lenovo Ryzen 3 4 Gb 256 Ssd 14 Windows 10 Nuevas ,new,MLA1652,,2020-09-11T16:55:14.000Z,Capital Federal,48.0,normal,0.95,0.05,5_green,179.0,5.0,,0.0,ASTRONIC ARG,,
MLA861858776,Lenovo Ideapad,1,gold_special,36,25,99995.0,MLA15698353,True,Argentina,active,"['good_quality_picture', 'good_quality_thumbnail', 'brand_verified', 'extended_warranty_eligible', 'immediate_payment', 'cart_eligible']",131648529,99995.0,Garantía de fábrica: 12 meses,,MLA-NOTEBOOKS,0.9,buy_it_now,Notebook Lenovo S145 Core I3 1005 G1 8gb 1tb 15.6 Win10,new,MLA1652,,2020-06-12T12:36:08.000Z,Capital Federal,93.0,normal,0.97,0.02,5_green,27992.0,1435.0,platinum,0.01,PCCENTERCOMPUTERS,MLA-NOTEBOOKS,Lenovo IdeaPad S145-15IIL
MLA900364708,Lenovo Ideapad,1,gold_pro,12,5,89999.0,MLA16189144,True,Argentina,active,"['good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'brand_verified', 'extended_warranty_eligible', 'immediate_payment', 'cart_eligible']",482880972,89999.0,Garantía del vendedor: 12 meses,,MLA-NOTEBOOKS,0.87,buy_it_now,"Notebook Lenovo Ideapad 3 I3 10ma 15,6 8gb Ssd 256gb",new,MLA1652,,2020-12-09T13:25:37.000Z,Capital Federal,2.0,normal,0.99,0.01,5_green,3246.0,152.0,platinum,0.0,MAGATEKNO,MLA-NOTEBOOKS,Lenovo IdeaPad 3
MLA897721176,Lenovo Ideapad,1,gold_pro,35,5,89999.0,MLA16041756,True,Argentina,active,"['good_quality_picture', 'good_quality_thumbnail', 'brand_verified', 'extended_warranty_eligible', 'immediate_payment', 'cart_eligible']",203804413,89999.0,Garantía de fábrica: 6 meses,,MLA-NOTEBOOKS,1.0,buy_it_now,Notebook Lenovo Ideapad 3 15.6 Core I3-1005g1 8gb Ram 256gb,new,MLA1652,,2020-11-18T13:58:45.000Z,Capital Federal,16.0,normal,0.95,0.02,5_green,26370.0,1269.0,platinum,0.03,NEXT CLICK,MLA-NOTEBOOKS,Lenovo IdeaPad 3 15IIL05
MLA875512766,Lenovo Ideapad,1,gold_special,22,5,49999.0,MLA15280167,True,Argentina,active,"['good_quality_thumbnail', 'brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",174556876,49999.0,Garantía de fábrica: 12 meses,62999,MLA-NOTEBOOKS,0.8,buy_it_now,Notebook Lenovo 330 Intel Celeron N4000 4gb Ddr4 1tb Dvdrw ,new,MLA1652,,2020-08-28T14:30:44.000Z,Capital Federal,29.0,normal,0.94,0.03,5_green,408198.0,27764.0,platinum,0.03,OVERHARD DIGITAL,MLA-NOTEBOOKS,Lenovo IdeaPad 330-15IGM
MLA875916696,Lenovo Ideapad,1,gold_special,22,5,64999.0,MLA15262067,True,Argentina,active,"['good_quality_thumbnail', 'brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",25704919,64999.0,Garantía de fábrica: 12 meses,,MLA-NOTEBOOKS,0.87,buy_it_now,Notebook Lenovo Intel Celeron 4gb Ram 1tb Hdd Uhd Graphics,new,MLA1652,,2020-08-31T14:11:00.000Z,Capital Federal,29.0,normal,0.96,0.01,5_green,46993.0,5508.0,platinum,0.03,ELECTRO-SHOWS,MLA-NOTEBOOKS,Lenovo IdeaPad S145-14IGM
MLA900263705,Lenovo Ideapad,1,gold_special,22,5,87499.0,MLA15698354,True,Argentina,active,"['good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'brand_verified', 'extended_warranty_eligible', 'immediate_payment', 'cart_eligible']",258450419,87499.0,Garantía de fábrica: 12 meses,109379,MLA-NOTEBOOKS,0.9,buy_it_now,Notebook Lenovo Ideapad S145-15iil I5 1035g4 8gb 1tb 15'',new,MLA1652,829,2020-12-08T13:01:11.000Z,Capital Federal,11.0,brand,0.94,0.03,5_green,2727.0,200.0,platinum,0.03,DELTA TIENDASOFICIALES,MLA-NOTEBOOKS,Lenovo IdeaPad S145-15IIL - Platinum gray - 8 GB - 1 TB - 1366 px x 768 px - Intel Iris Plus Graphics - Intel - Core i5 - 1035G4 - Windows - 10 - Home
MLA884208569,Lenovo Ideapad,1,gold_special,52,5,41499.0,MLA16029713,True,Argentina,active,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",69526727,41499.0,Garantía del vendedor: 12 meses,,MLA-NOTEBOOKS,0.9,buy_it_now,Notebook Lenovo 11.6 Hd Intel Celeron Ssd 128gb Ram 4gb Wifi,new,MLA1652,,2020-10-16T17:43:57.000Z,Capital Federal,22.0,normal,0.96,0.02,5_green,28173.0,1467.0,platinum,0.02,ELECTRONIC-MARKET,MLA-NOTEBOOKS,Lenovo IdeaPad 1 14IGL05
