;item_id;product;official_store_id;initial_quantity;seller_address.country.name;buying_mode;title;health;listing_type_id;seller_address.state.name;warranty;status;price;category_id;available_quantity;catalog_product_id;original_price;base_price;accepts_mercadopago;tags;start_time;condition;seller_id;domain_id;sold_quantity;questions_total;user_seller_reputation.level_id;user_seller_reputation.transactions.canceled;user_seller_reputation.power_seller_status;user_user_type;user_seller_reputation.transactions.ratings.neutral;user_seller_reputation.transactions.completed;user_seller_reputation.transactions.ratings.positive;user_seller_reputation.transactions.ratings.negative;user_nickname;product_domain_id;product_sold_quantity;product_name
389;MLA902753168;Lenovo Ideapad;;1;Argentina;buy_it_now;Lenovo Ideapad 110 Con Detalle;0.66;gold_special;Capital Federal;Garantía del vendedor: 3 meses;active;49999.0;MLA1652;1;MLA15298432;;49999.0;TRUE;['immediate_payment', 'cart_eligible'];2020-12-31T13:31:40.000Z;used;541855;MLA-NOTEBOOKS;0;;5_green;132.0;gold;normal;0.0;1543.0;1.0;0.0;TELOVENDO_ARG;MLA-NOTEBOOKS;0.0;Lenovo IdeaPad 110-15ISK
390;MLA884831957;Lenovo Ideapad;;3;Argentina;buy_it_now;Notebook Lenovo I5 4gb 1t Hdd- Ip S145-15iil - Gris;0.8;gold_special;Capital Federal;Garantía de fábrica: 12 meses;active;109999.0;MLA1652;1;MLA15698353;;109999.0;TRUE;['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];2020-10-21T18:14:51.000Z;new;172753273;MLA-NOTEBOOKS;1;1.0;5_green;1923.0;platinum;normal;0.01;30890.0;0.98;0.01;DEVENTAS_TECH_STORE;MLA-NOTEBOOKS;0.0;Lenovo IdeaPad S145-15IIL
391;MLA840884862;Lenovo Ideapad;;4;Argentina;buy_it_now;Notebook Lenovo Ideapad S145-15iil Intel Core I3 4gb Ram 1tb;0.88;gold_special;Buenos Aires;Garantía de fábrica: 12 meses;active;81968.94;MLA1652;1;MLA15706115;;81968.94;TRUE;['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'brand_verified', 'immediate_payment', 'cart_eligible'];2020-02-25T16:17:13.000Z;new;184616888;MLA-NOTEBOOKS;3;39.0;5_green;808.0;platinum;normal;0.01;11105.0;0.97;0.02;OTERO HOGAR;MLA-NOTEBOOKS;0.0;Lenovo IdeaPad S145-15IIL - Platinum gray - 4 GB - 1 TB - 1366 px x 768 px - Intel UHD Graphics - Intel - Core i3 - 1005G1 - Windows - 10 - Home
392;MLA877380657;Lenovo Ideapad;;2;Argentina;buy_it_now;Notebook Lenovo Gamer Ryzen 5 3500u 8gb 256gb 15.6 Fullhd ;0.8;gold_special;Capital Federal;Garantía del vendedor: 6 meses;active;110000.0;MLA1652;1;MLA16041756;;110000.0;TRUE;['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];2020-09-08T13:30:42.000Z;new;66921256;MLA-NOTEBOOKS;0;6.0;5_green;23.0;silver;normal;0.01;449.0;0.99;0.0;HARD-BAIRES;MLA-NOTEBOOKS;0.0;Lenovo IdeaPad 3 15IIL05
393;MLA899974966;Lenovo Ideapad;;1002;Argentina;buy_it_now;Notebook Lenovo 256gb 8gb Ram Intel Core I3 Gpu Intel Uhd;0.8;gold_special;Capital Federal;Garantía del vendedor: 3 meses;active;74999.0;MLA1652;500;MLA16189144;;74999.0;TRUE;['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];2020-12-04T19:44:54.000Z;new;284824585;MLA-NOTEBOOKS;3;;5_green;1704.0;platinum;normal;0.02;16671.0;0.93;0.05;SKY.VISION ELECTRONICA;MLA-NOTEBOOKS;0.0;Lenovo IdeaPad 3
394;MLA862600794;Lenovo Ideapad;;10;Argentina;buy_it_now;Notebook Lenovo 15.6´ Windows 10 Amd A4 Integ 4 Gb Ram 500gb;0.9;gold_special;Buenos Aires;Garantía de fábrica: 12 meses;active;59990.0;MLA1652;1;MLA15261472;;59990.0;TRUE;['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];2020-06-16T18:26:22.000Z;new;497906304;MLA-NOTEBOOKS;5;;5_green;929.0;platinum;normal;0.01;17238.0;0.97;0.02;E-O-N-E;MLA-NOTEBOOKS;0.0;Lenovo IdeaPad S145-15AST
395;MLA896908275;Lenovo Ideapad;;1000;Argentina;buy_it_now;Notebook Lenovo 81d1009aue 4gb Ram 1tb Hdd Lector Dvd 15,6´´;0.7;gold_special;Capital Federal;Garantía del vendedor: 3 meses;active;54999.0;MLA1652;500;MLA15280167;;54999.0;TRUE;['extended_warranty_eligible', 'poor_quality_picture', 'poor_quality_thumbnail', 'immediate_payment', 'cart_eligible'];2020-11-12T17:59:41.000Z;new;309453406;MLA-NOTEBOOKS;1;3.0;5_green;2560.0;platinum;normal;0.01;25700.0;0.94;0.05;BAZA 10;MLA-NOTEBOOKS;0.0;Lenovo IdeaPad 330-15IGM
396;MLA900730329;Lenovo Ideapad;;99999;Argentina;buy_it_now;Notebook Lenovo Ideapad 3 Core I3 4gb 1tb 15 W10 Mexx 2;0.7;gold_pro;Capital Federal;Garantía del vendedor: 12 meses;active;86899.0;MLA1652;50000;MLA16041756;91489;86899.0;TRUE;['good_quality_thumbnail', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible'];2020-12-11T19:59:01.000Z;new;82916233;MLA-NOTEBOOKS;5;6.0;2_orange;7606.0;;normal;0.01;131037.0;0.97;0.02;MEXX COMPUTACION;MLA-NOTEBOOKS;0.0;Lenovo IdeaPad 3 15IIL05
397;MLA876815311;Lenovo Ideapad;;40;Argentina;buy_it_now;Notebook Lenovo Core I3 10ma Gen 8gb 256gb Ssd 15.6 Hd Win10;0.88;gold_special;Capital Federal;Garantía del vendedor: 12 meses;active;82499.0;MLA1652;1;MLA16041756;;82499.0;TRUE;['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible'];2020-09-04T20:27:10.000Z;new;153491318;MLA-NOTEBOOKS;0;;5_green;811.0;platinum;normal;0.01;13385.0;0.98;0.01;DELLOREAN;MLA-NOTEBOOKS;0.0;Lenovo IdeaPad 3 15IIL05
398;MLA900594658;Lenovo Ideapad;;17;Argentina;buy_it_now;Lenovo Notebook 15 Pulgadas Ideapad3 I3 1005 8gb Ssd256 ;0.9;gold_special;Capital Federal;Garantía de fábrica: 12 meses;active;79990.0;MLA1652;1;;;79990.0;TRUE;['good_quality_thumbnail', 'brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible'];2020-12-10T21:52:36.000Z;new;178321008;MLA-NOTEBOOKS;0;;5_green;255.0;platinum;normal;0.0;4264.0;0.99;0.01;OPTICACOSENTINO;;;
