;index;item_id;product;price;accepts_mercadopago;listing_type_id;available_quantity;initial_quantity;original_price;title;category_id;health;catalog_product_id;warranty;domain_id;sold_quantity;buying_mode;official_store_id;seller_address.state.name;start_time;status;condition;tags;seller_address.country.name;seller_id;base_price;questions_total;user_seller_reputation.transactions.completed;user_seller_reputation.transactions.ratings.neutral;user_nickname;user_seller_reputation.transactions.ratings.negative;user_seller_reputation.level_id;user_seller_reputation.transactions.ratings.positive;user_seller_reputation.power_seller_status;user_user_type;user_seller_reputation.transactions.canceled;product_sold_quantity;product_domain_id;product_name
543;543;MLA876509673;Dell XPS;221599.0;TRUE;gold_special;1;10;;Renovada) Dell Xps 15-9550 15.6-inch Laptop Intel Core I5-6®;MLA1652;0.62;MLA16537255;Garantía de fábrica: 6 meses;MLA-NOTEBOOKS;0;buy_it_now;;Capital Federal;2020-09-03T07:12:31.000Z;active;new;['good_quality_picture', 'incomplete_technical_specs', 'immediate_payment', 'cart_eligible'];Argentina;638164371;221599.0;0.0;0.0;1.0;DIJU5794713;0.0;;0.0;;normal;1.0;0.0;MLA-NOTEBOOKS;Dell XPS 9550
544;544;MLA876510176;Dell XPS;199599.0;TRUE;gold_special;1;10;;Renovada) Dell Xps 13 9360 13.3 Laptop Qhd+ Touchscreen 7th®;MLA1652;0.62;MLA15713211;Garantía de fábrica: 6 meses;MLA-NOTEBOOKS;0;buy_it_now;;Capital Federal;2020-09-03T07:12:17.000Z;active;new;['incomplete_technical_specs', 'poor_quality_picture', 'immediate_payment', 'cart_eligible'];Argentina;638164371;199599.0;;0.0;1.0;DIJU5794713;0.0;;0.0;;normal;1.0;0.0;MLA-NOTEBOOKS;Dell XPS 9360
545;545;MLA876510220;Dell XPS;200599.0;TRUE;gold_special;1;10;;Renovada) Dell Xps 13 9350 Qhd+ 1800p Touch I7-6500u 3. 541®;MLA1652;0.62;MLA15750288;Garantía de fábrica: 6 meses;MLA-NOTEBOOKS;0;buy_it_now;;Capital Federal;2020-09-03T07:12:28.000Z;active;new;['incomplete_technical_specs', 'poor_quality_picture', 'immediate_payment', 'cart_eligible'];Argentina;638164371;200599.0;0.0;0.0;1.0;DIJU5794713;0.0;;0.0;;normal;1.0;0.0;MLA-NOTEBOOKS;Dell XPS 9350
546;546;MLA876510279;Dell XPS;171499.0;TRUE;gold_special;1;10;;Renovada) Dell Xps Xps9350-5341slv 13.3 Inch Qhd Touchscreen;MLA1652;0.62;;Garantía de fábrica: 6 meses;MLA-NOTEBOOKS;0;buy_it_now;;Capital Federal;2020-09-03T07:14:47.000Z;active;new;['good_quality_picture', 'incomplete_technical_specs', 'immediate_payment', 'cart_eligible'];Argentina;638164371;171499.0;0.0;0.0;1.0;DIJU5794713;0.0;;0.0;;normal;1.0;;;
547;547;MLA896156196;Dell XPS;180499.0;TRUE;gold_special;1;10;;Notebook Dell Xps 13-9350 Intel Core I7-6500u X2 2.2ghz 8gb;MLA1652;0.62;MLA15750288;Garantía de fábrica: 6 meses;MLA-NOTEBOOKS;0;buy_it_now;;Capital Federal;2020-11-07T03:54:15.000Z;active;new;['good_quality_picture', 'incomplete_technical_specs', 'immediate_payment', 'cart_eligible'];Argentina;72973477;180499.0;0.0;4.0;0.0;CAM_JUL2011;0.0;;1.0;;normal;0.0;0.0;MLA-NOTEBOOKS;Dell XPS 9350
548;548;MLA876508795;Dell XPS;199599.0;TRUE;gold_special;1;10;;Renovada) Dell Xps 13 9360 13.3' Fhd Laptop 7th Gen Intel C®;MLA1652;0.62;MLA15713211;Garantía de fábrica: 6 meses;MLA-NOTEBOOKS;0;buy_it_now;;Capital Federal;2020-09-03T07:12:32.000Z;active;new;['good_quality_picture', 'incomplete_technical_specs', 'immediate_payment', 'cart_eligible'];Argentina;638164371;199599.0;;0.0;1.0;DIJU5794713;0.0;;0.0;;normal;1.0;0.0;MLA-NOTEBOOKS;Dell XPS 9360
549;549;MLA876510222;Dell XPS;221599.0;TRUE;gold_special;1;10;;Renovada) Dell Xps 13 9365 Intel Core I5-7y54 X2 1.2ghz 413®;MLA1652;0.62;MLA15293911;Garantía de fábrica: 6 meses;MLA-NOTEBOOKS;0;buy_it_now;;Capital Federal;2020-09-03T07:12:28.000Z;active;new;['incomplete_technical_specs', 'poor_quality_picture', 'immediate_payment', 'cart_eligible'];Argentina;638164371;221599.0;;0.0;1.0;DIJU5794713;0.0;;0.0;;normal;1.0;0.0;MLA-NOTEBOOKS;Dell XPS 9365
550;550;MLA876510253;Dell XPS;192599.0;TRUE;gold_special;1;10;;Renovada) Dell Xps 9360 13.3in Fhd Infinity Edge Laptop Int®;MLA1652;0.62;MLA15713211;Garantía de fábrica: 6 meses;MLA-NOTEBOOKS;0;buy_it_now;;Capital Federal;2020-09-03T07:12:34.000Z;active;new;['incomplete_technical_specs', 'poor_quality_picture', 'immediate_payment', 'cart_eligible'];Argentina;638164371;192599.0;;0.0;1.0;DIJU5794713;0.0;;0.0;;normal;1.0;0.0;MLA-NOTEBOOKS;Dell XPS 9360
551;551;MLA876508819;Dell XPS;222599.0;TRUE;gold_special;1;10;;Renovada) Dell Xps 15-9550 Intel Core I5-6300hq X4 2.3ghz 8®;MLA1652;0.62;MLA16537255;Garantía de fábrica: 6 meses;MLA-NOTEBOOKS;0;buy_it_now;;Capital Federal;2020-09-03T07:12:35.000Z;active;new;['good_quality_picture', 'incomplete_technical_specs', 'immediate_payment', 'cart_eligible'];Argentina;638164371;222599.0;;0.0;1.0;DIJU5794713;0.0;;0.0;;normal;1.0;0.0;MLA-NOTEBOOKS;Dell XPS 9550
552;552;MLA876509569;Dell XPS;213599.0;TRUE;gold_special;1;10;;Renovada) Dell Xps 9365 13.3 Fhd Touchscreen 2 In 1 Laptop ®;MLA1652;0.62;MLA15293911;Garantía de fábrica: 6 meses;MLA-NOTEBOOKS;0;buy_it_now;;Capital Federal;2020-09-03T07:12:21.000Z;active;new;['incomplete_technical_specs', 'poor_quality_picture', 'immediate_payment', 'cart_eligible'];Argentina;638164371;213599.0;;0.0;1.0;DIJU5794713;0.0;;0.0;;normal;1.0;0.0;MLA-NOTEBOOKS;Dell XPS 9365
553;553;MLA876492687;Dell XPS;282499.0;TRUE;gold_special;1;10;;Renovada) Dell Xps 13 9300 Laptop 13.4 Uhd+ 3840 X 2400 Touc;MLA1652;0.62;MLA15978623;Garantía de fábrica: 6 meses;MLA-NOTEBOOKS;0;buy_it_now;;Capital Federal;2020-09-03T05:02:22.000Z;active;new;['good_quality_picture', 'incomplete_technical_specs', 'immediate_payment', 'cart_eligible'];Argentina;638147961;282499.0;0.0;0.0;0.0;GOJU718023;0.0;;0.0;;normal;0.0;0.0;MLA-NOTEBOOKS;Dell XPS 9300
554;554;MLA876510215;Dell XPS;221599.0;TRUE;gold_special;1;10;;Renovada) Dell Xps 9570 15.6 Uhd Touchscreen Laptop I5-8300®;MLA1652;0.62;MLA15249930;Garantía de fábrica: 6 meses;MLA-NOTEBOOKS;0;buy_it_now;;Capital Federal;2020-09-03T07:12:25.000Z;active;new;['good_quality_picture', 'incomplete_technical_specs', 'immediate_payment', 'cart_eligible'];Argentina;638164371;221599.0;0.0;0.0;1.0;DIJU5794713;0.0;;0.0;;normal;1.0;0.0;MLA-NOTEBOOKS;Dell XPS 9570
555;555;MLA876509379;Dell XPS;175599.0;TRUE;gold_special;1;10;;Renovada) Dell Xps 13-9360 Intel Core I5-7200u X2 2.5ghz 8g®;MLA1652;0.62;MLA15713211;Garantía de fábrica: 6 meses;MLA-NOTEBOOKS;0;buy_it_now;;Capital Federal;2020-09-03T07:11:53.000Z;active;new;['incomplete_technical_specs', 'poor_quality_picture', 'immediate_payment', 'cart_eligible'];Argentina;638164371;175599.0;0.0;0.0;1.0;DIJU5794713;0.0;;0.0;;normal;1.0;0.0;MLA-NOTEBOOKS;Dell XPS 9360
